id,pitch_line,claim_verbatim,type,anchor_source,triage,verdict,check_result,recommended_edit
C01,58,"every kilogram is launched from Earth at $1400-25000/kg",cost,"[^launchprice] FH 1400, F9 2800, ISS-CRS 25000",supporting,SURVIVE,"Sourced; FH ~1400/kg and ISS-CRS ~25000/kg (NASA OIG IG-18-021) are correct order-of-magnitude.",none
C02,72,"Entry tier 50 t chunk ~$400M per ship, ~$370M/yr",cost,"unit-econ chunk x $/kg; flagged scenario-sketch",supporting,FOOTNOTE-OK,"50 t x $1400/kg x ~5.7 = $400M implies a ~$7/kg-equiv markup band; self-labeled 'not a financial model'. Arithmetic 50000 kg x 1400 = $70M bulk, so $400M assumes premium pricing well above displacement.",footnote: reconcile $400M with 50t x displacement ($70M) — gap is the premium-pricing assumption; state it
C03,74,"Steady state 500-1000 t chunk, $1.3-2.3B, 70% margin",mass+cost,"era table; reader-note already flags infeasible",load-bearing,FAIL-FLAGGED,"500-1000 t chunk requires MW-class reactor end-to-end which campaign falsified (reader-note line 76 + matrix). Chunk cap is <=200 t per L0-05.",replace-framing: cap chunk row at 200t; already reader-noted, fold into rewrite
C04,92,"Falcon Heavy expendable ~$150M + Vulcan-Centaur ~$110M = $250-280M launch+TSI",cost,"public launch pricing",supporting,SURVIVE,"FH expendable ~$150M and Vulcan-Centaur ~$110M are within public ranges.",none
C05,92,"7.3 km/s Trans-Saturn Injection burn",dv,"titan-3 vis-viva R-delta-velocity-anchor-audit",load-bearing,SURVIVE,"7.3 km/s TSI consistent with titan-3 corrected Earth-departure (Saturn-departure was 7.7; TSI from LEO C3-for-Saturn ~ matches). Defensible.",none
C06,93,"Cassini ~$60M/yr ground-ops; ICEBERG ~$15-25M/yr x 6 yr = $100-150M cruise opex",cost,"Cassini ops analogy",supporting,SURVIVE,"Cassini ops ~$60M/yr (2000s) public; downscale to small flight-ops cell plausible. Order-of-magnitude OK.",none
C07,94,"Saturn one-way light-time ~75-90 min",time,"orbital geometry",supporting,SURVIVE,"Saturn 8.5-10 AU; light-time 71-83 min one-way. ~75-90 min correct.",none
C08,98,"1 m ~500 kg ice boulder; 10 m ~470 t boulder",mass,"ice density geometry",supporting,SURVIVE,"Sphere of ice (917 kg/m3): 1 m diam -> 0.52 m3 -> 480 kg ~500 kg OK; 10 m -> 524 m3 -> 480 t ~470 t OK.",none
C09,100,"B-ring radius ~117000 km, orbital velocity ~17 km/s",dv,"Saturn orbital mechanics",load-bearing,SURVIVE,"v_circ at 117000 km = 18.0 km/s. Pitch says ~17. Within 6%, OK. NOTE: this number contradicts the 1.5 km/s departure in C13.",none (but see C13)
C10,121-133,"Round-trip total ~13.0 km/s (impulsive table)",dv,"pitch internal dv table",load-bearing,FAIL,"Sum of impulsive table = 13.0 km/s is arithmetically correct as listed, but the table uses impulsive dv for low-thrust electric legs. Campaign finding (pitch line 35, titan): continuous-thrust inbound 24.7 + outbound 29.56 vs 6.42 impulsive each way. The ~13 km/s round-trip is impulsive-frame and understates electric-leg dv by 3.8-6.3x on spiral legs.",footnote/replace: state table is impulsive-equivalent; cite continuous-thrust multiplier; cross-ref framework once R-framework-matrix-parity lands
